iter	Passed	Remaining
0	2	1180
1	5	1072
2	8	1084
3	10	1043
4	12	1018
5	15	994
6	17	970
7	19	966
8	22	963
9	24	954
10	26	951
11	29	944
12	31	937
13	34	943
14	36	933
15	38	923
16	41	925
17	43	917
18	45	910
19	47	909
20	50	904
21	52	897
22	54	899
23	57	893
24	59	896
25	62	895
26	64	890
27	67	899
28	70	899
29	73	900
30	75	900
31	78	898
32	81	906
33	84	905
34	87	910
35	89	908
36	92	908
37	95	909
38	98	908
39	101	910
40	103	905
41	105	903
42	109	906
43	111	905
44	114	902
45	117	902
46	120	906
47	123	903
48	125	899
49	127	895
50	130	889
51	132	887
52	134	883
53	136	877
54	139	873
55	141	869
56	143	866
57	146	865
58	149	861
59	151	858
60	154	857
61	156	853
62	159	852
63	161	848
64	164	845
65	167	848
66	169	843
67	172	841
68	174	838
69	177	835
70	179	832
71	181	828
72	183	823
73	186	820
74	188	815
75	190	810
76	192	807
77	194	803
78	197	801
79	199	799
80	202	795
81	204	791
82	206	788
83	208	785
84	212	786
85	214	782
86	216	779
87	218	776
88	221	773
89	223	771
90	227	771
91	229	768
92	232	766
93	234	763
94	236	760
95	239	757
96	241	755
97	244	752
98	246	749
99	249	747
100	251	745
101	253	742
102	256	739
103	259	737
104	261	734
105	263	731
106	265	727
107	267	723
108	269	720
109	272	718
110	274	715
111	277	713
112	279	710
113	281	707
114	284	704
115	286	702
116	289	700
117	292	698
118	294	695
119	297	694
120	300	692
121	303	690
122	305	688
123	308	685
124	310	683
125	312	679
126	314	676
127	316	673
128	319	670
129	321	667
130	323	664
131	325	661
132	327	657
133	329	654
134	332	651
135	334	648
136	336	645
137	338	643
138	341	641
139	343	638
140	346	635
141	348	632
142	350	630
143	353	627
144	355	625
145	358	623
146	360	620
147	363	618
148	365	615
149	367	612
150	370	610
151	372	607
152	374	604
153	376	602
154	379	599
155	381	596
156	383	594
157	385	591
158	388	588
159	390	585
160	392	583
161	395	580
162	397	577
163	399	574
164	401	571
165	403	569
166	406	566
167	408	564
168	410	561
169	412	558
170	415	555
171	417	553
172	419	550
173	422	548
174	424	545
175	426	543
176	429	541
177	431	538
178	433	535
179	436	533
180	438	530
181	441	528
182	444	526
183	446	523
184	448	521
185	450	518
186	453	516
187	455	513
188	457	511
189	459	508
190	462	506
191	465	503
192	467	501
193	470	499
194	472	496
195	475	494
196	477	491
197	479	489
198	482	487
199	484	484
200	487	482
201	489	480
202	492	477
203	510	490
204	518	493
205	524	494
206	528	492
207	532	491
208	535	489
209	539	487
210	543	486
211	545	484
212	549	482
213	552	479
214	555	478
215	558	475
216	560	473
217	563	470
218	566	468
219	569	465
220	571	463
221	574	460
222	577	458
223	579	455
224	582	453
225	584	450
226	587	447
227	589	444
228	591	442
229	594	439
230	596	436
231	599	433
232	601	431
233	603	428
234	606	425
235	608	423
236	611	420
237	613	417
238	616	415
239	618	412
240	621	409
241	623	406
242	625	404
243	628	401
244	630	399
245	633	396
246	635	393
247	638	391
248	640	388
249	643	385
250	645	382
251	647	380
252	650	377
253	652	374
254	655	372
255	657	369
256	660	367
257	662	364
258	664	361
259	667	359
260	669	356
261	671	353
262	674	351
263	676	348
264	678	345
265	681	343
266	683	340
267	686	338
268	689	335
269	691	332
270	694	330
271	697	328
272	699	325
273	701	322
274	704	320
275	708	318
276	710	315
277	714	313
278	716	310
279	718	308
280	721	305
281	723	302
282	726	300
283	729	297
284	731	295
285	734	292
286	736	289
287	738	287
288	741	284
289	744	282
290	747	279
291	749	277
292	752	274
293	754	272
294	757	269
295	760	267
296	762	264
297	764	261
298	767	259
299	769	256
300	772	253
301	774	251
302	776	248
303	779	246
304	781	243
305	783	240
306	786	238
307	788	235
308	791	233
309	793	230
310	795	227
311	798	225
312	800	222
313	802	219
314	805	217
315	807	214
316	809	212
317	812	209
318	814	206
319	816	204
320	819	201
321	821	199
322	824	196
323	827	194
324	829	191
325	831	188
326	834	186
327	836	183
328	839	181
329	841	178
330	843	175
331	845	173
332	848	170
333	850	167
334	852	165
335	854	162
336	856	160
337	859	157
338	861	155
339	863	152
340	866	149
341	868	147
342	871	144
343	873	142
344	875	139
345	878	137
346	880	134
347	882	131
348	885	129
349	888	126
350	890	124
351	893	121
352	895	119
353	897	116
354	899	114
355	902	111
356	904	108
357	906	106
358	908	103
359	910	101
360	913	98
361	915	96
362	917	93
363	919	90
364	921	88
365	923	85
366	926	83
367	928	80
368	931	78
369	933	75
370	935	73
371	937	70
372	939	68
373	942	65
374	944	62
375	946	60
376	948	57
377	951	55
378	953	52
379	955	50
380	958	47
381	960	45
382	962	42
383	965	40
384	968	37
385	971	35
386	973	32
387	976	30
388	978	27
389	981	25
390	983	22
391	986	20
392	988	17
393	991	15
394	993	12
395	996	10
396	998	7
397	1001	5
398	1004	2
399	1006	0
