flight_number,airline_iata,airline_name,origin_iata,origin_city,dest_iata,dest_city,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,status,delay_minutes,distance_km,aircraft_type,origin_weather_code,origin_temp_c,origin_wind_kmh,origin_visibility_km,origin_precip_mm,origin_humidity,dest_weather_code,dest_temp_c,dest_wind_kmh,dest_visibility_km,dest_precip_mm,dest_humidity,weather_severity,origin_weather_severity,dest_weather_severity,hour_of_day,day_of_week,month,is_weekend,is_holiday,congestion_level,origin_congestion,dest_congestion,airline_reliability,historical_delay_rate,is_delayed
AF2715,AF,Air France,FCO,Rome,CDG,Paris,2025-06-06 09:55:00,2025-06-06 11:17:30,2025-06-06 09:50:00,2025-06-06 11:12:30,on_time,0,1100,B747,clear,17.0,11.1,15.5,0.0,34,clear,19.7,9.0,15.6,0.0,83,0.082,0.0,0.082,9,4,6,0,0,0.867,0.908,0.827,0.78,0.198,0
EK3833,EK,Emirates,JFK,New York,LHR,London,2025-07-23 07:30:00,2025-07-23 14:25:30,2025-07-23 07:47:00,2025-07-23 14:42:30,delayed,17,5540,A380,clear,16.9,12.7,16.0,0.0,88,clear,16.6,4.4,16.3,0.0,76,0.104,0.104,0.074,7,2,7,0,0,0.269,0.159,0.378,0.88,0.093,1
BA5268,BA,British Airways,CDG,Paris,JFK,New York,2025-09-21 15:25:00,2025-09-21 22:42:28,2025-09-21 15:20:00,2025-09-21 22:37:28,on_time,0,5833,B747,clear,18.3,5.3,16.7,0.0,39,cloudy,17.3,9.9,10.2,0.1,58,0.297,0.081,0.297,15,6,9,1,0,0.367,0.477,0.257,0.82,0.126,0
DL871,DL,Delta Air Lines,JFK,New York,CDG,Paris,2025-11-18 19:25:00,2025-11-19 02:42:28,2025-11-18 19:21:00,2025-11-19 02:38:28,on_time,0,5833,A321,cloudy,9.9,15.0,14.0,0.3,48,clear,29.9,8.1,17.5,0.0,81,0.162,0.162,0.0,19,1,11,0,0,0.405,0.74,0.071,0.83,0.233,0
EK8301,EK,Emirates,ORY,Paris,BCN,Barcelona,2025-09-05 15:30:00,2025-09-05 16:31:57,2025-09-05 15:29:00,2025-09-05 16:30:57,on_time,0,826,A330,clear,22.6,14.9,15.3,0.0,31,cloudy,20.7,15.7,8.4,0.3,44,0.235,0.235,0.232,15,4,9,0,0,0.45,0.378,0.521,0.88,0.208,0
AA1503,AA,American Airlines,DXB,Dubai,CDG,Paris,2025-12-25 13:15:00,2025-12-25 19:47:51,2025-12-25 13:11:00,2025-12-25 19:43:51,on_time,0,5238,B777,clear,18.1,11.4,15.4,0.0,30,storm,8.4,76.5,4.5,34.1,69,0.938,0.072,0.938,13,3,12,0,0,0.654,0.538,0.77,0.81,0.11,0
U29175,U2,easyJet,BCN,Barcelona,CDG,Paris,2025-04-07 16:40:00,2025-04-07 17:44:21,2025-04-07 16:44:00,2025-04-07 17:48:21,on_time,0,858,A350,snow,-12.2,20.8,4.0,19.4,55,cloudy,27.9,18.0,9.9,0.3,45,0.528,0.528,0.184,16,0,4,0,0,0.578,0.324,0.832,0.72,0.203,0
AF7162,AF,Air France,DXB,Dubai,ORY,Paris,2025-12-21 06:05:00,2025-12-21 12:38:27,2025-12-21 07:50:00,2025-12-21 14:23:27,delayed,105,5246,B737,clear,33.1,12.9,10.7,0.0,92,snow,-2.7,31.5,3.9,6.4,90,0.689,0.108,0.689,6,6,12,1,0,0.393,0.266,0.519,0.78,0.064,1
VY8956,VY,Vueling,LHR,London,DXB,Dubai,2025-02-28 16:50:00,2025-02-28 23:42:16,2025-02-28 17:58:00,2025-03-01 00:50:16,delayed,68,5497,A320,cloudy,7.3,13.1,9.1,0.4,61,clear,24.0,6.3,12.8,0.0,39,0.132,0.132,0.009,16,4,2,0,0,0.483,0.581,0.386,0.7,0.223,1
EK9589,EK,Emirates,CDG,Paris,JFK,New York,2025-08-28 13:15:00,2025-08-28 20:32:28,2025-08-28 13:10:00,2025-08-28 20:27:28,on_time,0,5833,B787,clear,32.3,13.5,11.6,0.0,79,cloudy,11.6,18.9,12.6,0.4,92,0.23,0.147,0.23,13,3,8,0,0,0.576,0.546,0.606,0.88,0.126,0
IB8665,IB,Iberia,CDG,Paris,BCN,Barcelona,2025-11-27 13:40:00,2025-11-27 14:44:21,2025-11-27 13:44:00,2025-11-27 14:48:21,on_time,0,858,B737,clear,18.1,14.4,10.8,0.0,38,clear,23.1,14.1,15.7,0.0,35,0.132,0.132,0.059,13,3,11,0,0,0.514,0.52,0.509,0.76,0.061,0
AA6154,AA,American Airlines,JFK,New York,ORY,Paris,2025-06-03 09:10:00,2025-06-03 16:27:24,2025-06-03 09:08:00,2025-06-03 16:25:24,on_time,0,5832,A380,storm,22.8,45.0,2.3,31.3,39,rain,22.0,39.9,3.5,4.0,63,0.797,0.797,0.25,9,1,6,0,0,0.559,0.669,0.45,0.81,0.193,0
U24425,U2,easyJet,ORY,Paris,DXB,Dubai,2025-12-11 22:50:00,2025-12-12 05:23:27,2025-12-11 23:43:00,2025-12-12 06:16:27,delayed,53,5246,B787,fog,9.5,6.7,1.2,0.9,43,clear,20.3,13.3,17.4,0.0,66,0.583,0.583,0.06,22,3,12,0,0,0.189,0.347,0.03,0.72,0.191,1
AF7141,AF,Air France,LHR,London,JFK,New York,2025-09-05 18:00:00,2025-09-06 00:55:30,2025-09-05 17:57:00,2025-09-06 00:52:30,on_time,0,5540,A330,snow,-14.9,28.1,4.2,6.7,86,fog,10.1,1.1,1.9,0.7,49,0.551,0.454,0.551,18,4,9,0,0,0.389,0.777,0.0,0.78,0.068,0
